time{s},tank\Tank\level,Control\valvecontrol,Control\count
0,0,0,0
0.00025,0.00025,0,0
0.0005,0.0005,0,0
0.001,0.001,0,0
0.002,0.002,0,0
0.004,0.004,0,0
0.008,0.008,0,0
0.016,0.016,0,0
0.032,0.032,0,0
0.064,0.064,0,0
0.128,0.128,0,0
0.256,0.256,0,0
0.512,0.512,0,0
1,1,0,0
1,1,0,1
1.00001414213562,1.00001414213562,0,1
1.00004242640687,1.00004242640687,0,1
1.00009899494937,1.00009899494937,0,1
1.00021213203436,1.00021213203436,0,1
1.00043840620434,1.00043840620434,0,1
1.0008909545443,1.0008909545443,0,1
1.00179605122421,1.00179605122421,0,1
1.00360624458405,1.00360624458405,0,1
1.00722663130373,1.00722663130373,0,1
1.01446740474308,1.01446740474308,0,1
1.02894895162178,1.02894895162178,0,1
1.05791204537918,1.05791204537918,0,1
1.11583823289398,1.11583823289398,0,1
1.23169060792358,1.23169060792358,0,1
1.46339535798279,1.46339535798279,0,1
1.92680485810121,1.92680485810121,0,1
2,2,0,1
2,2,0,2
2.00002121320344,2.00002121320344,0,2
2.00006363961031,2.00006363961031,0,2
2.00014849242405,2.00014849242405,0,2
2.00031819805153,2.00031819805153,0,2
2.0006576093065,2.0006576093065,0,2
2.00133643181644,2.00133643181644,0,2
2.00269407683632,2.00269407683632,0,2
2.00540936687608,2.00540936687608,0,2
2.01083994695559,2.01083994695559,0,2
2.02170110711462,2.02170110711462,0,2
2.04342342743267,2.04342342743267,0,2
2.08686806806877,2.08686806806877,0,2
2.17375734934097,2.17375734934097,0,2
2.34753591188538,2.34753591188538,0,2
2.69509303697419,2.69509303697419,0,2
2.6950936998868,2.69509272664296,1,2
2.6950936998868,2.69509272664296,1,3
2.69513016390012,2.69507563172209,1,3
2.69520309192677,2.69504143909787,1,3
2.69534894798008,2.69497306756738,1,3
2.69564066008669,2.69483634624279,1,3
2.6962240842999,2.69456299051148,1,3
2.69739093272633,2.69401662649944,1,3
2.6997246295792,2.69292528651227,1,3
2.70439202328493,2.69074814459817,1,3
2.71372681069639,2.68641590088287,1,3
2.72306159810785,2.68210558571984,1,3
2.73239638551931,2.67781708811315,1,3
2.75106596034223,2.66929095525397,1,3
2.76973553516515,2.66084413939886,1,3
2.78840510998808,2.65248157664632,1,3
2.82574425963392,2.63600963998347,1,3
