"time{s}","pos{rev}","velocity{rad/s}","pwm"
0.1,0,0,0
0.12,0,0,0
0.14,1.0537857897464926E-17,3.3105656955249E-15,4.35600749411171E-17
0.16,2.9692090596826804E-6,9.32804536883826E-4,1.2273743906366131E-5
0.18,2.5138582258412945E-5,0.0069647139975821445,9.164097365239665E-5
0.2,9.230553769376875E-5,0.02110112137597068,2.77646333894351E-4
0.22,2.3661885625413936E-4,0.04533736614044239,5.965442913216105E-4
0.24,4.955100751014018E-4,0.08133307512094669,0.001070172041065088
0.26,8.206748724393257E-4,0.10215353385228355,0.0013441254454247835
0.28,0.001214151482917675,0.12361432288381943,0.0016265042484713084
0.3,0.0016904341583251373,0.14962861540921757,0.0019687975711739155
0.32,0.0023585828126680935,0.2099050903989738,0.002761909084197024
0.34,0.0032831615666171305,0.29046498210715005,0.0038219076593046055
0.36,0.0043396310155211,0.33189966594187675,0.004367100867656273
0.38,0.005494398897490238,0.36278102945956886,0.004773434598152221
0.4,0.006821447708786626,0.41690467965238015,0.005485587890162897
0.42,0.008350171383470783,0.4802627065756538,0.00631924613915334
0.44,0.010098816277169515,0.5493529951781244,0.00722832888392269
0.46,0.012080567370317397,0.6225854675476925,0.008191914046680165
0.48,0.014213892143148414,0.6702037434047032,0.00881847030795662
0.5,0.01645893203256794,0.7053000823616424,0.009280264241600559
0.52,0.01887014344851139,0.7575044070579782,0.009967163250762872
0.54,0.021451625274611485,0.8109964340251631,0.010671005710857408
0.56,0.024192395314060984,0.8610383021113548,0.011329451343570458
0.58,0.027073224720838084,0.9050392500576386,0.01190841118496893
0.6,0.029977550482798834,0.9124208477407468,0.012005537470272986
0.62,0.03291874681051415,0.9240040775915696,0.012157948389362757
0.64,0.036046905896626916,0.9827401604192014,0.012930791584463176
0.66,0.0392245364807309,0.9982820898843335,0.01313529065637281
0.68,0.0422902622706515,0.9631261619535346,0.01267271265728335
0.7,0.04531827864611517,0.9512794000106249,0.012516834210666117
0.72,0.04838675167203262,0.9639892315960693,0.012684068836790385
0.74,0.05150611852107947,0.9799779976817106,0.012894447337917244
0.76,0.054489115171166905,0.9371360361597649,0.012330737317891643
0.78,0.057234979527728935,0.8626387290329347,0.011350509592538615
0.8,0.05992880994434136,0.8462917846846337,0.011135418219534654
0.82,0.06252727025266193,0.8163303815264562,0.010741189230611266
0.84,0.06500474656378732,0.7783221378474265,0.010241080761150349
0.86,0.06733874201301751,0.7332462956813545,0.009647977574754664
0.88,0.06941732061363287,0.6530047261602209,0.008592167449476591
0.9,0.0712664155688061,0.5809103126962161,0.007643556746002843
0.92,0.07305724788270265,0.5626065641148611,0.007402717948879751
0.94,0.07468267283818432,0.5106423099102678,0.006718977761977208
0.96,0.07611172604055742,0.44895030421643445,0.005907240844953085
0.98,0.07724175232839715,0.3550082284240609,0.004671160900316591
1,0.07829511010590769,0.3309221055428796,0.004354238230827363
1.02,0.07918933212777565,0.28092813345785866,0.003696422808656035
1.04,0.07991471734329265,0.2278864864090906,0.002998506400119613
1.06,0.08057144354404203,0.20631662076941396,0.0027146923785449206
1.08,0.08104175212125289,0.14775179710859057,0.0019441025935340865
1.1,0.08138900337151944,0.10909219767873145,0.0014354236536675191
1.12,0.08174400911490871,0.11152834354139354,0.0014674782044920202
1.14,0.08201131958949658,0.08397806231928098,0.0011049745042010656
1.16,0.08218155875902548,0.053482212434520546,7.037133215068493E-4
